date,tick_type,crag_name,route_name,grade,area_name,tries,rating,notes,partner,style
2017-09-03,attempt,Klausener Wand,Nur Fliegen ist schöner,8+,Klausener Wand,2,4,,,sport
2017-09-03,redpoint,Klausener Wand,Liebe auf den zweiten Blick,7+/8-,Klausener Wand,3,3,,,sport
2017-09-03,redpoint,Klausener Wand,Zum Warmmachen,7,Klausener Wand,2,4,,,sport
2017-09-12,onsight,Happurger Wand,Goude Haud,6+,Happurger Wand,1,3,,,sport
2017-09-12,attempt,Hohler Fels,Frauen über 30,7-,Hohler Fels,2,,,,sport
2017-09-12,attempt,Hohler Fels,Barrakuda,7+/8-,Hohler Fels,2,4,,,sport
2017-10-22,redpoint,Cube Kletterzentrum,Frauenpower,6-,,2,5,,,sport
2018-04-02,attempt,Kanzelfels (Förrenbach),Hersbrucker Weg,6-,Kanzelfels,0,5,,,sport
2018-04-02,redpoint,Kanzelfels (Förrenbach),Hersbrucker Weg,6-,Kanzelfels,3,5,,,sport
2018-04-02,attempt,Kanzelfels (Förrenbach),Größenwahn,7+/8-,Kanzelfels,0,5,,,sport
2018-04-04,redpoint,Weiße Wand (Hirschbachtal),Arrabiata,7,Südseite,3,5,,,sport
2018-04-04,attempt,Weiße Wand (Hirschbachtal),Lady Domina,7-,Südseite,0,5,,,sport
2018-04-04,attempt,Weiße Wand (Hirschbachtal),Boulder,7-,Südseite,3,5,,,sport
2018-04-04,redpoint,Weiße Wand (Hirschbachtal),Verfassungsbeschwerde,7-,Südseite,3,5,,,sport
2018-04-04,attempt,Weiße Wand (Hirschbachtal),Kiefernverschneidung,6-,Südseite,3,5,,,sport
2018-04-08,onsight,Lug ins Land,Für Elsa und Dani,6-,Lug ins Land,1,5,,,sport
2018-04-08,attempt,Lug ins Land,Wilde Amelie,6-,Lug ins Land,0,5,,,sport
2018-04-08,redpoint,Himmelsfels,Höhenglückwand,7-,Himmelsfels,2,5,,,sport
2018-04-08,attempt,Prellstein,Nürnberger Weg,6+,Prellstein,0,5,,,sport
2018-04-08,attempt,Lug ins Land,Theresa,6+,Lug ins Land,0,5,,,sport
2018-04-08,redpoint,Himmelsfels,Himmelstor,7+/8-,Himmelsfels,2,5,,,sport
2018-04-30,attempt,Klausener Wand,Manche mögen‘s heiß,8,Klausener Wand,0,5,,,sport
2018-04-30,attempt,Klausener Wand,Manche mögen‘s heiß,7+/8-,Klausener Wand,0,5,,,sport
2018-04-30,attempt,Klausener Wand,Obermühlriss,6+,Klausener Wand,0,5,,,sport
2018-05-06,redpoint,Zimmerbergwände,Zufall,7-,Sektor 1,2,5,,,sport
2018-05-06,attempt,Zimmerbergwände,Murmeltier,7+,Sektor 1,0,4,,,sport
2018-05-06,attempt,Zimmerbergwände,Zufall,7-,Sektor 1,0,5,,,sport
2018-05-06,attempt,Zimmerbergwände,Freundschaft,7-,Sektor 1,0,5,,,sport
