"route_boulder","name","location_name","sector_name","area_name","country_code","date","type","sub_type","rating","project","tries","repeats","difficulty","perceived_hardness","comment","height","recommended","sits"
"ROUTE","Westkante (Alter Weg)","Steingarten / Langer Berg Wände","Sektor 1",,"DE","2017-08-05T12:00:00Z","os",,"4","0","1","0","4+",,"","25","0","null"
"ROUTE","Hummelstaner Weg","Hartensteiner Wand","Hartensteiner Wand",,"DE","2017-08-09T12:00:00Z","os",,"4","0","1","0","5+",,"","20","0","null"
"ROUTE","Mikado","Engelswand","Engelswand",,"AT","2017-08-20T12:00:00Z","go",,"0","0","2","0","6b+",,"","20","0","null"
"ROUTE","Hummelstaner Weg","Hartensteiner Wand","Hartensteiner Wand",,"DE","2017-08-20T12:00:00Z","rp",,"4","0","2","0","5+",,"","20","0","null"
"ROUTE","Linke Wand","Oetz","Oetz",,"AT","2017-08-20T12:00:00Z","rp",,"4","0","2","0","6a",,"","20","0","null"
"ROUTE","Der Wolf und die Zwerge","Engelswand","Engelswand",,"AT","2017-08-20T12:00:00Z","os",,"4","0","1","0","5c+",,"","25","0","null"
"ROUTE","Windwalker","Engelswand","Engelswand",,"AT","2017-08-20T12:00:00Z","go",,"0","0","2","0","6b+",,"","30","0","null"
"ROUTE","Kilomanie","Roter Fels","Sektor 3",,"DE","2017-08-20T12:00:00Z","go",,"4","0","2","0","7+/8-",,"","30","0","null"
"ROUTE","Die 101jährige","Hartensteiner Wand","Hartensteiner Wand",,"DE","2017-08-20T12:00:00Z","os",,"4","0","1","0","6-",,"","20","0","null"
"ROUTE","Kilomanie","Roter Fels","Sektor 3",,"DE","2017-08-20T12:00:00Z","rp",,"4","0","2","0","8-",,"","30","0","null"
"ROUTE","Die 101jährige","Hartensteiner Wand","Hartensteiner Wand",,"DE","2017-08-20T12:00:00Z","rp",,"4","0","2","0","6",,"","20","0","null"
"ROUTE","Computerspiele","Ankatalturm & Ankatalwand","Ankatalwand",,"DE","2017-08-20T12:00:00Z","go",,"5","0","2","0","7+/8-",,"","30","0","null"
"ROUTE","Its your time","Engelswand","Engelswand",,"AT","2017-08-20T12:00:00Z","os",,"4","0","1","0","6a",,"","25","0","null"
"ROUTE","Schmidtchen-Schleicher","Oetz","Oetz",,"AT","2017-08-20T12:00:00Z","f",,"5","0","1","0","6b",,"","30","0","null"
"ROUTE","Kurzer Riss","Hartensteiner Wand","Hartensteiner Wand",,"DE","2017-08-20T12:00:00Z","os",,"3","0","1","0","4",,"","20","0","null"
"ROUTE","Harakiri","Oetz","Oetz",,"AT","2017-08-20T12:00:00Z","os",,"5","0","1","0","6a",,"","30","0","null"
"ROUTE","Touch and go","Oetz","Oetz",,"AT","2017-08-20T12:00:00Z","go",,"4","0","2","0","6c",,"","20","0","null"
"ROUTE","Santa Zofia","Hartensteiner Wand","Hartensteiner Wand",,"DE","2017-08-20T12:00:00Z","os",,"4","0","1","0","5+",,"","20","0","null"
"ROUTE","Harter Hund","Roter Fels","Sektor 2",,"DE","2017-08-20T12:00:00Z","go",,"4","0","2","0","7-",,"","35","0","null"
"ROUTE","Softmover","Roter Fels","Sektor 2",,"DE","2017-08-20T12:00:00Z","os",,"3","0","1","0","5-",,"","35","0","null"
"ROUTE","Abkürzer","Hartensteiner Wand","Hartensteiner Wand",,"DE","2017-08-20T12:00:00Z","os",,"4","0","1","0","6-",,"","20","0","null"
"ROUTE","Admiral","Gotthardskirche","Gotthardskirche",,"DE","2017-08-26T12:00:00Z","go",,"2","0","2","0","7+/8-",,"","15","0","null"
"ROUTE","Siebenschläfer","Gotthardskirche","Gotthardskirche",,"DE","2017-08-26T12:00:00Z","os",,"4","0","1","0","6+",,"","15","0","null"
"ROUTE","N.N.","Gotthardskirche","Gotthardskirche",,"DE","2017-08-26T12:00:00Z","os",,"3","0","1","0","7-",,"","15","0","null"
"ROUTE","Liebe auf den zweiten Blick","Klausener Wand","Klausener Wand",,"DE","2017-09-02T12:00:00Z","go",,"3","0","2","0","7+/8-",,"","20","0","null"
"ROUTE","EM Finale","Klausener Wand","Klausener Wand",,"DE","2017-09-02T12:00:00Z","go",,"0","0","1","0","6+",,"","20","0","null"
"ROUTE","Liebe auf den zweiten Blick","Klausener Wand","Klausener Wand",,"DE","2017-09-02T12:00:00Z","go",,"4","0","2","0","7+/8-",,"","20","0","null"
"ROUTE","Zum Warmmachen","Klausener Wand","Klausener Wand",,"DE","2017-09-02T12:00:00Z","os",,"5","0","1","0","7-",,"","20","0","null"
"ROUTE","Nur Fliegen ist schöner","Klausener Wand","Klausener Wand",,"DE","2017-09-02T12:00:00Z","go",,"4","0","2","0","8+",,"","20","0","null"
"ROUTE","EM Finale","Klausener Wand","Klausener Wand",,"DE","2017-09-02T12:00:00Z","rp",,"0","0","2","0","6+",,"","20","0","null"
"ROUTE","Nur Fliegen ist schöner","Klausener Wand","Klausener Wand",,"DE","2017-09-03T12:00:00Z","go",,"4","0","2","0","8+",,"","20","0","null"
